type,img,name,link,,,
actor,https://learn-awesome.github.io/assets/people/Emma_Watson.png,Emma Watson,emma-watson-books,,,
actor,https://learn-awesome.github.io/assets/people/Shah_Rukh_Khan.png,Shah Rukh Khan,shah-rukh-khan-books,,,
actor,https://learn-awesome.github.io/assets/people/Jimmy_Fallon.png,Jimmy Fallon,jimmy-fallon-books,,,
actor,https://learn-awesome.github.io/assets/people/Aamir_Khan.png,Aamir Khan,aamir-khan-books,,,
actor,https://learn-awesome.github.io/assets/people/Ashton_Kutcher.png,Ashton Kutcher,ashton-kutcher-books,,,
actor,https://learn-awesome.github.io/assets/people/Hugh_Jackman.png,Hugh Jackman,hugh-jackman-books,,,
actor,https://learn-awesome.github.io/assets/people/Dwayne_Johnson.png,Dwayne Johnson,dwayne-johnson-books,,,
actor,https://learn-awesome.github.io/assets/people/Adam_Savage.png,Adam Savage,adam-savage-books,,,
actor,https://learn-awesome.github.io/assets/people/Seth_Rogen.png,Seth Rogen,seth-rogen-books,,,
actor,https://learn-awesome.github.io/assets/people/Anna_Kendrick.png,Anna Kendrick,anna-kendrick-books,,,
actor,https://learn-awesome.github.io/assets/people/Ben_Stiller.png,Ben Stiller,ben-stiller-books,,,
actor,https://learn-awesome.github.io/assets/people/Arnold_Schwarzenegger.png,Arnold Schwarzenegger,arnold-schwarzenegger-books,,,
actor,https://learn-awesome.github.io/assets/people/Joseph_Gordon-Levitt.png,Joseph Gordon-Levitt,joseph-gordon-levitt-books,,,
actor,https://learn-awesome.github.io/assets/people/Jamie_Foxx.png,Jamie Foxx,jamie-foxx-books,,,
actor,https://learn-awesome.github.io/assets/people/Edward_Norton.png,Edward Norton,edward-norton-books,,,
actor,https://learn-awesome.github.io/assets/people/Jesse_Williams.png,Jesse Williams,jesse-williams-books,,,
actor,https://learn-awesome.github.io/assets/people/Terry_Crews.png,Terry Crews,terry-crews-books,,,
actor,https://learn-awesome.github.io/assets/people/Chloe_Grace_Moretz.png,Chloë Grace Moretz,chloe-grace-moretz-books,,,
actor,https://learn-awesome.github.io/assets/people/B.J._Novak.png,B.J. Novak,bj-novak-books,,,
actor,https://learn-awesome.github.io/assets/people/Jennifer_Lawrence.png,Jennifer Lawrence,jennifer-lawrence-books,,,
actor,https://learn-awesome.github.io/assets/people/Aubrey_Plaza.png,Aubrey Plaza,aubrey-plaza-books,,,
actor,https://learn-awesome.github.io/assets/people/Emilia_Clarke.png,Emilia Clarke,emilia-clarke-books,,,
actor,https://learn-awesome.github.io/assets/people/Richa_Chadha.png,Richa Chadha,richa-chadha-books,,,
actor,https://learn-awesome.github.io/assets/people/Don_Cheadle.png,Don Cheadle,don-cheadle-books,,,
actor,https://learn-awesome.github.io/assets/people/Charlize_Theron.png,Charlize Theron,charlize-theron-books,,,
actor,https://learn-awesome.github.io/assets/people/Will_Smith.png,Will Smith,will-smith-books,,,
actor,https://learn-awesome.github.io/assets/people/Keanu_Reeves.png,Keanu Reeves,keanu-reeves-books,,,
actor,https://learn-awesome.github.io/assets/people/Vince_Vaughn.png,Vince Vaughn,vince-vaughn-books,,,
actor,https://learn-awesome.github.io/assets/people/Jennifer_Aniston.png,Jennifer Aniston,jennifer-aniston-books,,,
actor,https://learn-awesome.github.io/assets/people/Emma_Stone.png,Emma Stone,emma-stone-books,,,
athlete,https://learn-awesome.github.io/assets/people/LeBron_James.png,LeBron James,lebron-james-books,,,
athlete,https://learn-awesome.github.io/assets/people/Maria_Sharapova.png,Maria Sharapova,maria-sharapova-books,,,
athlete,https://learn-awesome.github.io/assets/people/George_Raveling.png,George Raveling,george-raveling-books,,,
athlete,https://learn-awesome.github.io/assets/people/Shaun_White.png,Shaun White,shaun-white-books,,,
athlete,https://learn-awesome.github.io/assets/people/Amelia_Boone.png,Amelia Boone,amelia-boone-books,,,
athlete,https://learn-awesome.github.io/assets/people/Kelly_Slater.png,Kelly Slater,kelly-slater-books,,,
athlete,https://learn-awesome.github.io/assets/people/Turia_Pitt.png,Turia Pitt,turia-pitt-books,,,
athlete,https://learn-awesome.github.io/assets/people/Alex_Honnold.png,Alex Honnold,alex-honnold-books,,,
athlete,https://learn-awesome.github.io/assets/people/Greg_Norman.png,Greg Norman,greg-norman-books,,,
athlete,https://learn-awesome.github.io/assets/people/Ken_Block.png,Ken Block,ken-block-books,,,
athlete,https://learn-awesome.github.io/assets/people/Kyle_Maynard.png,Kyle Maynard,kyle-maynard-books,,,
athlete,https://learn-awesome.github.io/assets/people/Katr%C3%ADn_Dav%C3%AD%C3%B0sd%C3%B3ttir.png,Katrín Davíðsdóttir,katrin-davidsdottir-books,,,
athlete,https://learn-awesome.github.io/assets/people/Ann%C3%ADe_Mist_%C3%9E%C3%B3risd%C3%B3ttir.png,Anníe Mist Þórisdóttir,annie-mist-orisdottir-books,,,
athlete,https://learn-awesome.github.io/assets/people/Dan_Gable.png,Dan Gable,dan-gable-books,,,
athlete,https://learn-awesome.github.io/assets/people/Jon_Call.png,Jon Call,jon-call-books,,,
author,https://learn-awesome.github.io/assets/people/Jordan_Peterson.png,Jordan Peterson,jordan-peterson-books,,,
author,https://learn-awesome.github.io/assets/people/Jocko_Willink.png,Jocko Willink,jocko-willink-books,,,
